                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.31713,                0.37707,                0.86673,                0.83949,                0.86013,                0.91011,                0.88036,                0.32355,                0.54712,                 0.8419,               0.006535,               0.006535,               0.006535
                     38,                0.31522,                0.36549,                0.86405,                0.89036,                0.85555,                0.91551,                0.88225,                0.31903,                0.48786,                0.82961,               0.006436,               0.006436,               0.006436
                     39,                0.32303,                0.36122,                0.87287,                0.86169,                 0.8684,                0.91599,                0.88061,                0.36942,                0.53519,                0.86521,               0.006337,               0.006337,               0.006337
                     40,                0.30458,                0.34815,                0.86331,                0.85112,                0.88632,                0.90268,                0.87976,                0.31178,                0.53475,                0.82809,               0.006238,               0.006238,               0.006238
                     41,                0.30949,                0.35418,                 0.8574,                  0.834,                0.90748,                0.92243,                0.88546,                0.33528,                0.51859,                0.85603,               0.006139,               0.006139,               0.006139
                     42,                0.30081,                 0.3501,                0.85056,                0.79633,                 0.8881,                 0.9334,                0.91782,                0.28557,                0.51647,                0.82272,                0.00604,                0.00604,                0.00604
                     43,                0.29353,                0.33842,                0.85601,                0.88824,                0.85871,                0.93111,                0.89328,                0.31974,                0.52463,                 0.8294,               0.005941,               0.005941,               0.005941
                     44,                0.29228,                0.33602,                0.85736,                0.88066,                0.86465,                0.92257,                0.87275,                0.40083,                0.49809,                0.87844,               0.005842,               0.005842,               0.005842
                     45,                0.28816,                0.31404,                 0.8552,                0.83991,                 0.8162,                0.91256,                0.89271,                0.30826,                0.58855,                 0.8269,               0.005743,               0.005743,               0.005743
                     46,                0.28715,                0.32582,                0.84431,                0.85946,                0.84283,                0.90421,                0.87961,                0.29055,                0.51245,                0.82395,               0.005644,               0.005644,               0.005644
                     47,                0.28515,                0.33549,                0.84624,                0.87888,                0.86587,                0.91001,                 0.8717,                 0.3691,                0.51343,                 0.8676,               0.005545,               0.005545,               0.005545
                     48,                0.27877,                0.29157,                0.84643,                 0.8479,                0.89132,                0.91445,                0.87958,                0.33397,                0.52657,                0.83865,               0.005446,               0.005446,               0.005446
                     49,                0.28124,                  0.286,                0.84416,                0.85261,                0.87695,                 0.9128,                0.89015,                0.31521,                0.52073,                0.83432,               0.005347,               0.005347,               0.005347
                     50,                0.27336,                0.29664,                 0.8486,                0.87938,                 0.8437,                0.90768,                0.88852,                0.29298,                0.52651,                0.81994,               0.005248,               0.005248,               0.005248
                     51,                0.26972,                0.26802,                0.84858,                0.90331,                 0.8716,                0.93159,                 0.9101,                0.27826,                0.45303,                 0.8038,               0.005149,               0.005149,               0.005149
                     52,                0.27004,                0.28682,                0.84652,                0.87628,                0.87471,                 0.9119,                0.88642,                0.31336,                0.53377,                0.81377,                0.00505,                0.00505,                0.00505
                     53,                 0.2674,                0.28062,                  0.846,                0.89189,                0.86261,                0.91351,                0.88758,                0.29704,                0.48195,                0.81168,               0.004951,               0.004951,               0.004951
                     54,                0.26692,                0.27681,                0.84203,                0.82406,                0.83073,                0.92394,                0.90792,                0.28942,                0.57344,                0.81258,               0.004852,               0.004852,               0.004852
                     55,                0.26824,                0.27512,                 0.8423,                0.90173,                0.84208,                0.93361,                0.91394,                0.28779,                0.46292,                0.81145,               0.004753,               0.004753,               0.004753
                     56,                0.26369,                0.25847,                0.84095,                0.89965,                0.83259,                0.90838,                0.89028,                0.30915,                0.49481,                0.82173,               0.004654,               0.004654,               0.004654
                     57,                0.26122,                0.28379,                 0.8427,                0.77749,                0.90688,                 0.9004,                0.88893,                 0.2777,                0.50196,                0.81125,               0.004555,               0.004555,               0.004555
                     58,                0.25379,                0.25163,                0.83686,                0.90138,                0.90037,                0.93308,                0.91502,                0.29991,                0.44201,                0.81831,               0.004456,               0.004456,               0.004456
                     59,                0.25472,                   0.25,                0.82982,                0.88728,                0.88482,                0.92024,                0.90222,                0.29211,                 0.4584,                 0.8219,               0.004357,               0.004357,               0.004357
                     60,                 0.2576,                 0.2376,                0.83549,                0.87002,                0.87115,                0.91285,                 0.8977,                0.28378,                0.47688,                0.80857,               0.004258,               0.004258,               0.004258
                     61,                0.24919,                0.22854,                0.83445,                0.88752,                0.89603,                0.91593,                0.89887,                0.27066,                0.48797,                0.80457,               0.004159,               0.004159,               0.004159
                     62,                 0.2553,                0.24344,                0.83138,                0.87653,                0.87747,                0.91986,                0.90229,                0.27877,                0.49887,                0.80941,                0.00406,                0.00406,                0.00406
